model,train_size,test_size,mae,rmse,mape,theils_u,directional_accuracy,bias,accuracy_ratio,actual,predicted
linear,4,1,2412.999999999999,2412.999999999999,474.0667976424359,0.7032935004371903,0,2412.999999999999,5.740667976424359,[509],[2921.999999999999]
arima,4,1,1150.7112322693529,1150.7112322693529,226.07293364820293,1.0,0,-1150.7112322693529,-1.2607293364820291,[509],[-641.7112322693529]
