model,mae,rmse,mape,accuracy_ratio,bias,actual,predicted
Linear Regression,2412.999999999999,2412.999999999999,474.0667976424359,5.740667976424359,2412.999999999999,[509],[2921.999999999999]
"ARIMA(1,1,1)",772.2057202465612,772.2057202465612,151.710357612291,2.51710357612291,772.2057202465612,[509],[1281.2057202465612]
